platform,brand,campaign_type,spend,impressions,clicks,orders,revenue,day_of_week,is_weekend,CTR,ROAS,CPC,is_risky
Swiggy,Sunfeast,Sponsored_Display,15254.28,213958,1491,36,5986.73,1,0,0.007,0.39,10.23,1
Blinkit,Cadbury,Sponsored_Brands,16359.86,81146,1192,48,11286.16,4,0,0.0147,0.69,13.72,1
Swiggy,Oreo,Sponsored_Display,8632.2,122342,1155,24,2790.37,2,0,0.0094,0.32,7.47,1
Swiggy,Ariel,Sponsored_Products,39266.49,355166,14474,715,451796.06,4,0,0.0408,11.51,2.71,0
Blinkit,Oreo,Sponsored_Products,6563.64,50838,1662,155,20935.43,5,1,0.0327,3.19,3.95,0
Blinkit,Bingo,Sponsored_Brands,31927.88,150187,2972,166,17122.03,4,0,0.0198,0.54,10.74,1
Swiggy,Oreo,Sponsored_Display,6630.38,100689,1147,21,2417.46,6,1,0.0114,0.36,5.78,1
Zepto,Bingo,Sponsored_Brands,3991.51,18675,470,17,1597.71,0,0,0.0252,0.4,8.49,1
Swiggy,Ariel,Sponsored_Display,45516.76,563823,3581,58,39004.28,2,0,0.0064,0.86,12.71,1
Swiggy,Knorr,Sponsored_Products,9911.37,74283,3247,179,23786.77,3,0,0.0437,2.4,3.05,1
Swiggy,Cadbury,Sponsored_Brands,41151.88,203611,3988,220,54976.36,6,1,0.0196,1.34,10.32,1
Swiggy,Dove,Sponsored_Brands,27459.23,175040,2927,171,104593.83,0,0,0.0167,3.81,9.38,0
Blinkit,Sunfeast,Sponsored_Products,4353.9,39134,1228,118,21115.85,3,0,0.0314,4.85,3.55,0
Swiggy,Dove,Sponsored_Brands,47794.69,255273,3794,220,126500.47,1,0,0.0149,2.65,12.6,1
Zepto,Knorr,Sponsored_Display,12724.58,143207,1010,19,2688.23,3,0,0.0071,0.21,12.6,1
Blinkit,Sunfeast,Sponsored_Display,43052.44,473148,4551,92,16686.5,6,1,0.0096,0.39,9.46,1
